"headwordIndex","translationIndex","english","original","status","register","confidence","reasonCode","reason","reviewer","replacement","applied","preferredForEnToAr","preferredForArToEn","directionReason","partOfSpeech","sourceId","beforeStatus","beforeRegister","finalArabic","beforeGrid","afterGrid","referenceArabic","referenceConflict","referenceConflictReason","sense"
"295","1","DOWNLOAD","تحميل","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of DOWNLOAD. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to DOWNLOADED, DOWNLOADING, LOAD, LOADING, UPLOAD. Does not restrict EN → AR.","noun","stage3a:h295:t1","review","uncertain","تحميل","تحميل","تحميل","تحميل","false","",""
"295","2","DOWNLOAD","تنزيل","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of DOWNLOAD. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to DOWNLOADING. Does not restrict EN → AR.","noun","stage3a:h295:t2","review","uncertain","تنزيل","تنزيل","تنزيل","تحميل","false","",""
"295","3","DOWNLOAD","نزل","review","uncertain","medium","needs-linguistic-confirmation","DOWNLOAD → نزل: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","","","","","stage3a:h295:t3","review","uncertain","نزل","نزل","نزل","تحميل","false","",""
"296","0","HIM","له","review","msa","medium","needs-linguistic-confirmation","HIM → له: Subject/prepositional Arabic forms need an object-pronoun construction.","AI-assisted linguistic review","","false","","","","","stage3a:h296:t0","review","uncertain","له","له","له","هو","false","",""
"296","1","HIM","هو","review","msa","medium","needs-linguistic-confirmation","HIM → هو: Subject/prepositional Arabic forms need an object-pronoun construction.","AI-assisted linguistic review","","false","","","","","stage3a:h296:t1","review","uncertain","هو","هو","هو","هو","true","Reference supports a relationship not certified by this review; reference is not authoritative.",""
"297","0","WITHOUT","بدون","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of WITHOUT. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","true","Reviewer selected a clear everyday reverse clue; no shared-expression conflict in the compatibility pool. Not a guarantee of unique translation in all language contexts.","preposition","stage3a:h297:t0","review","uncertain","بدون","بدون","بدون","بدون","false","",""
"298","0","ACCESS","النفاذ","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of ACCESS. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","","","noun","stage3a:h298:t0","review","uncertain","النفاذ","النفاذ","النفاذ","الوصول","false","",""
"298","1","ACCESS","الوصول","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of ACCESS. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to ACCESSING, ARRIVAL, ARRIVE, REACH, REACHING. Does not restrict EN → AR.","noun","stage3a:h298:t1","review","uncertain","الوصول","الوصول","الوصول","الوصول","false","",""
"299","0","THINK","فكر","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of THINK. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to THOUGHT. Does not restrict EN → AR.","verb","stage3a:h299:t0","review","uncertain","فكر","فكر","فكر","فكر","false","",""
"299","1","THINK","فكري","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of THINK. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","","","verb","stage3a:h299:t1","review","uncertain","فكري","فكري","فكري","فكر","false","",""
"300","0","NORTH","نورث","rejected","uncertain","high","incorrect-or-mismatched-equivalent","English transliteration, not the Arabic direction.","AI-assisted linguistic review","","false","false","false","","","stage3a:h300:t0","review","uncertain","نورث","نورث","نورث","الشمال","false","",""
"300","1","NORTH","شمالي","review","uncertain","medium","needs-linguistic-confirmation","NORTH → شمالي: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","","","","","stage3a:h300:t1","review","uncertain","شمالي","شمالي","شمالي","الشمال","false","",""
"300","2","NORTH","شمال","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of NORTH. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to NORTHERN. Does not restrict EN → AR.","noun","stage3a:h300:t2","review","uncertain","شمال","شمال","شمال","الشمال","false","",""
"300","3","NORTH","شمالا","review","uncertain","medium","needs-linguistic-confirmation","NORTH → شمالا: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","","","","","stage3a:h300:t3","review","uncertain","شمالا","شمالا","شمالا","الشمال","false","",""
"300","4","NORTH","الشمال","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of NORTH. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to NORTHERN. Does not restrict EN → AR.","noun","stage3a:h300:t4","review","uncertain","الشمال","الشمال","الشمال","الشمال","false","",""
"301","0","RESOURCES","الموارد","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of RESOURCES. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to RESOURCE. Does not restrict EN → AR.","noun","stage3a:h301:t0","review","uncertain","الموارد","الموارد","الموارد","الموارد","false","",""
"301","1","RESOURCES","موارد","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of RESOURCES. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to RESOURCE. Does not restrict EN → AR.","noun","stage3a:h301:t1","review","uncertain","موارد","موارد","موارد","الموارد","false","",""
"302","0","CURRENT","التيار","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of CURRENT in the flow sense. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to STREAM. Does not restrict EN → AR.","noun","stage3a:h302:t0","review","uncertain","التيار","التيار","التيار","الحالي","false","","flow"
"302","1","CURRENT","تيار","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of CURRENT in the flow sense. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to STREAM. Does not restrict EN → AR.","noun","stage3a:h302:t1","review","uncertain","تيار","تيار","تيار","الحالي","false","","flow"
"302","2","CURRENT","الحالي","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of CURRENT in the present sense. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to PRESENT. Does not restrict EN → AR.","adjective","stage3a:h302:t2","review","uncertain","الحالي","الحالي","الحالي","الحالي","false","","present"
"303","0","POSTS","الوظائف","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of POSTS in the jobs sense. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to CAREERS, FUNCTIONALITY, FUNCTIONS, JOBS. Does not restrict EN → AR.","noun","stage3a:h303:t0","review","uncertain","الوظائف","الوظائف","الوظائف","الوظائف","false","","jobs"
"303","1","POSTS","منشورات","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of POSTS in the published messages sense. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to PUBLICATIONS. Does not restrict EN → AR.","noun","stage3a:h303:t1","review","uncertain","منشورات","منشورات","منشورات","الوظائف","false","","published messages"
"303","2","POSTS","المناصب","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of POSTS in the positions sense. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to POSITIONS. Does not restrict EN → AR.","noun","stage3a:h303:t2","review","uncertain","المناصب","المناصب","المناصب","الوظائف","false","","positions"
"303","3","POSTS","المنشورات","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of POSTS in the published messages sense. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to PUBLICATIONS. Does not restrict EN → AR.","noun","stage3a:h303:t3","review","uncertain","المنشورات","المنشورات","المنشورات","الوظائف","false","","published messages"
"304","0","BIG","الكبير","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of BIG. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to LARGE. Does not restrict EN → AR.","adjective","stage3a:h304:t0","review","uncertain","الكبير","الكبير","الكبير","كبير","false","",""
"304","1","BIG","كبيرة","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of BIG. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to CONSIDERABLE, LARGE, SUBSTANTIAL, SUBSTANTIALLY. Does not restrict EN → AR.","adjective","stage3a:h304:t1","review","uncertain","كبيرة","كبيرة","كبيرة","كبير","false","",""
"304","2","BIG","كبيره","review","uncertain","medium","needs-linguistic-confirmation","BIG → كبيره: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","","","","","stage3a:h304:t2","review","uncertain","كبيره","كبيره","كبيره","كبير","false","",""
"304","3","BIG","كبير","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of BIG. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to LARGE. Does not restrict EN → AR.","adjective","stage3a:h304:t3","review","uncertain","كبير","كبير","كبير","كبير","false","",""
"305","0","MEDIA","الاعلام","review","uncertain","medium","needs-linguistic-confirmation","MEDIA → الاعلام: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","","","","","stage3a:h305:t0","review","uncertain","الاعلام","الاعلام","الاعلام","وسائط الإعلام","false","",""
"305","1","MEDIA","اعلام","review","uncertain","medium","needs-linguistic-confirmation","MEDIA → اعلام: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","","","","","stage3a:h305:t1","review","uncertain","اعلام","اعلام","اعلام","وسائط الإعلام","false","",""
"305","2","MEDIA","وسائط الإعلام","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of MEDIA. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","","","noun","stage3a:h305:t2","review","uncertain","وسائط الإعلام","وسائطالإعلام","وسائطالإعلام","وسائط الإعلام","false","",""
"306","0","LAW","القانون","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of LAW. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","","","noun","stage3a:h306:t0","review","uncertain","القانون","القانون","القانون","القانون","false","",""
"306","1","LAW","قانون","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of LAW. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","true","Reviewer selected a clear everyday reverse clue; no shared-expression conflict in the compatibility pool. Not a guarantee of unique translation in all language contexts.","noun","stage3a:h306:t1","review","uncertain","قانون","قانون","قانون","القانون","false","",""
"307","0","CONTROL","التحكم","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of CONTROL. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","","","noun","stage3a:h307:t0","review","uncertain","التحكم","التحكم","التحكم","التحكم","false","",""
"307","1","CONTROL","السيطرة","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of CONTROL. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to CONTROLLING. Does not restrict EN → AR.","noun","stage3a:h307:t1","review","uncertain","السيطرة","السيطرة","السيطرة","التحكم","false","",""
"307","2","CONTROL","سيطرة","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of CONTROL. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to CONTROLLING. Does not restrict EN → AR.","noun","stage3a:h307:t2","review","uncertain","سيطرة","سيطرة","سيطرة","التحكم","false","",""
"307","3","CONTROL","تحكم","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of CONTROL. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","","","noun","stage3a:h307:t3","review","uncertain","تحكم","تحكم","تحكم","التحكم","false","",""
"308","0","WATER","الماء","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of WATER. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","","","noun","stage3a:h308:t0","review","uncertain","الماء","الماء","الماء","المياه","false","",""
"308","1","WATER","ماء","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of WATER. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","true","Reviewer selected a clear everyday reverse clue; no shared-expression conflict in the compatibility pool. Not a guarantee of unique translation in all language contexts.","noun","stage3a:h308:t1","review","uncertain","ماء","ماء","ماء","المياه","false","",""
"308","2","WATER","مياه","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of WATER. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to WATERS. Does not restrict EN → AR.","noun","stage3a:h308:t2","review","uncertain","مياه","مياه","مياه","المياه","false","",""
"308","3","WATER","المياه","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of WATER. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to WATERS. Does not restrict EN → AR.","noun","stage3a:h308:t3","review","uncertain","المياه","المياه","المياه","المياه","false","",""
"309","0","HISTORY","التاريخ","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of HISTORY. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to DATE. Does not restrict EN → AR.","noun","stage3a:h309:t0","review","uncertain","التاريخ","التاريخ","التاريخ","التاريخ","false","",""
"309","1","HISTORY","تاريخ","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of HISTORY. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to DATE. Does not restrict EN → AR.","noun","stage3a:h309:t1","review","uncertain","تاريخ","تاريخ","تاريخ","التاريخ","false","",""
"310","0","PICTURES","الصور","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of PICTURES. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to IMAGES, PHOTOS. Does not restrict EN → AR.","noun","stage3a:h310:t0","review","uncertain","الصور","الصور","الصور","الصور","false","",""
"310","1","PICTURES","صور","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of PICTURES. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to IMAGES, PHOTOS. Does not restrict EN → AR.","noun","stage3a:h310:t1","review","uncertain","صور","صور","صور","الصور","false","",""
"311","0","SIZE","المقاس","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of SIZE. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","","","noun","stage3a:h311:t0","review","uncertain","المقاس","المقاس","المقاس","الحجم","false","",""
"311","1","SIZE","الحجم","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of SIZE. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to MAGNITUDE, VOLUME. Does not restrict EN → AR.","noun","stage3a:h311:t1","review","uncertain","الحجم","الحجم","الحجم","الحجم","false","",""
"311","2","SIZE","حجم","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of SIZE. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to MAGNITUDE, VOLUME. Does not restrict EN → AR.","noun","stage3a:h311:t2","review","uncertain","حجم","حجم","حجم","الحجم","false","",""
"312","0","ART","الفن","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of ART. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","","","noun","stage3a:h312:t0","review","uncertain","الفن","الفن","الفن","الفن","false","",""
"312","1","ART","ارت","rejected","uncertain","high","incorrect-or-mismatched-equivalent","English transliteration/name, not the noun art.","AI-assisted linguistic review","","false","false","false","","","stage3a:h312:t1","review","uncertain","ارت","ارت","ارت","الفن","false","",""
"312","2","ART","فن","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of ART. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","true","Reviewer selected a clear everyday reverse clue; no shared-expression conflict in the compatibility pool. Not a guarantee of unique translation in all language contexts.","noun","stage3a:h312:t2","review","uncertain","فن","فن","فن","الفن","false","",""
"313","0","PERSONAL","شخصيه","review","uncertain","medium","needs-linguistic-confirmation","PERSONAL → شخصيه: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","","","","","stage3a:h313:t0","review","uncertain","شخصيه","شخصيه","شخصيه","البيانات الشخصية","false","",""
"313","1","PERSONAL","شخصية","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of PERSONAL. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to CHARACTER, PERSONALITY, PERSONALIZED. Does not restrict EN → AR.","adjective","stage3a:h313:t1","review","uncertain","شخصية","شخصية","شخصية","البيانات الشخصية","false","",""
"313","2","PERSONAL","شخصي","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of PERSONAL. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","","","adjective","stage3a:h313:t2","review","uncertain","شخصي","شخصي","شخصي","البيانات الشخصية","false","",""
"313","3","PERSONAL","البيانات الشخصية","rejected","uncertain","high","incorrect-or-mismatched-equivalent","Adds data: personal data, not personal alone.","AI-assisted linguistic review","","false","false","false","","","stage3a:h313:t3","review","uncertain","البيانات الشخصية","البياناتالشخصية","البياناتالشخصية","البيانات الشخصية","true","Reference supports a relationship not certified by this review; reference is not authoritative.",""
"314","0","SINCE","منذ","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of SINCE. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to AGO. Does not restrict EN → AR.","preposition","stage3a:h314:t0","review","uncertain","منذ","منذ","منذ","منذ","false","",""
"314","1","SINCE","مند","review","uncertain","medium","needs-linguistic-confirmation","SINCE → مند: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","","","","","stage3a:h314:t1","review","uncertain","مند","مند","مند","منذ","false","",""
"315","0","INCLUDING","بما فيها","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of INCLUDING. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","","","preposition","stage3a:h315:t0","review","uncertain","بما فيها","بمافيها","بمافيها","بما فيها","false","",""
"316","0","GUIDE","مرشد","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of GUIDE in the person who guides sense. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","","","noun","stage3a:h316:t0","review","uncertain","مرشد","مرشد","مرشد","دليل","false","","person who guides"
"316","1","GUIDE","دليل","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of GUIDE in the reference or guidebook sense. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to DIRECTORY, EVIDENCE, MANUAL, PROOF. Does not restrict EN → AR.","noun","stage3a:h316:t1","review","uncertain","دليل","دليل","دليل","دليل","false","","reference or guidebook"
"316","2","GUIDE","الدليل","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of GUIDE in the reference or guidebook sense. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to DIRECTORY, EVIDENCE, MANUAL, PROOF. Does not restrict EN → AR.","noun","stage3a:h316:t2","review","uncertain","الدليل","الدليل","الدليل","دليل","false","","reference or guidebook"
"316","3","GUIDE","المرشد","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of GUIDE in the person who guides sense. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","","","noun","stage3a:h316:t3","review","uncertain","المرشد","المرشد","المرشد","دليل","false","","person who guides"
"316","4","GUIDE","ارشاد","review","uncertain","medium","needs-linguistic-confirmation","GUIDE → ارشاد: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","","","","","stage3a:h316:t4","review","uncertain","ارشاد","ارشاد","ارشاد","دليل","false","",""
"317","0","SHOP","محل","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of SHOP. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","","","noun","stage3a:h317:t0","review","uncertain","محل","محل","محل","متجر","false","",""
"317","1","SHOP","تسوق","review","uncertain","medium","needs-linguistic-confirmation","SHOP → تسوق: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","","","","","stage3a:h317:t1","review","uncertain","تسوق","تسوق","تسوق","متجر","false","",""
"317","2","SHOP","متجر","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of SHOP. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to STORE. Does not restrict EN → AR.","noun","stage3a:h317:t2","review","uncertain","متجر","متجر","متجر","متجر","false","",""
"317","3","SHOP","محلا","review","uncertain","medium","needs-linguistic-confirmation","SHOP → محلا: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","","","","","stage3a:h317:t3","review","uncertain","محلا","محلا","محلا","متجر","false","",""
"317","4","SHOP","شوب","review","uncertain","medium","needs-linguistic-confirmation","SHOP → شوب: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","","","","","stage3a:h317:t4","review","uncertain","شوب","شوب","شوب","متجر","false","",""
"318","0","DIRECTORY","دليل","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of DIRECTORY. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to EVIDENCE, GUIDE, MANUAL, PROOF. Does not restrict EN → AR.","noun","stage3a:h318:t0","review","uncertain","دليل","دليل","دليل","الدليل","false","",""
"318","1","DIRECTORY","الدليل","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of DIRECTORY. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to EVIDENCE, GUIDE, MANUAL, PROOF. Does not restrict EN → AR.","noun","stage3a:h318:t1","review","uncertain","الدليل","الدليل","الدليل","الدليل","false","",""
"319","0","BOARD","لوح","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of BOARD in the flat piece of material sense. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to TABLET, WAVE. Does not restrict EN → AR.","noun","stage3a:h319:t0","review","uncertain","لوح","لوح","لوح","مجلس الإدارة","false","","flat piece of material"
"319","1","BOARD","اللوح","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of BOARD in the flat piece of material sense. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to TABLET, WAVE. Does not restrict EN → AR.","noun","stage3a:h319:t1","review","uncertain","اللوح","اللوح","اللوح","مجلس الإدارة","false","","flat piece of material"
"319","2","BOARD","مجلس الإدارة","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of BOARD in the governing group sense. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","","","noun","stage3a:h319:t2","review","uncertain","مجلس الإدارة","مجلسالإدارة","مجلسالإدارة","مجلس الإدارة","false","","governing group"
